Product name,Price_per_unit,Rating,Rating_count,1 star count,2 star count,3 star count,4 star count,5 star count,Similar_product_1,Similar_product_price_1,Similar_product_2,Similar_product_price_2,Similar_product_3,Similar_product_price_3,Similar_product_4,Similar_product_price_4,Similar_product_5,Similar_product_price_5,Pros,Cons,product recommendation,recommendation_count,recommendation_percent
Black Velvet Apple Whisky 50ml,1.49,5,1,0,0,0,0,1,Catch Fire Apple & Cinnamon Whisky 50ml,,,,,,,,Maker's Mark Bourbon Private Barrel Select 750ml,74.99,,,,,
Mars Whisky Iwai 45 750ml,33.49,4.5,2,0,0,0,1,1,Hatozaki Finest Japanese Whisky 750ml,41.99,ABK6 VSOP Cognac 750ml,34.99,Redemption High Rye Bourbon 750ml,27.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,Corona Extra 24-12oz Btls,26.99,,,,,
Ellington Reserve Peach Whisky 50ml,1.49,4.1,94,5,10,7,16,56,Catch Fire Cinnamon Whisky 50ml,,,,,,,,Maker's Mark Bourbon Private Barrel Select 750ml,74.99,"{'satisfaction': '14 reviews', 'price': '5 reviews'}",,63 out of 81 (78%) of reviewers would recommend this product to a friend.,63,78%
Ensign Red Black 50ml,1.99,4.6,50,0,1,5,9,35,Ensign Red Canadian Whisky 750ml,15.99,,,,,,,Redemption Rye 750ml,27.99,"{'flavor': '14 reviews', 'smooth': '10 reviews'}",,41 out of 45 (91%) of reviewers would recommend this product to a friend.,41,91%
Hayama Pure Malt Whisky 750ml,56.99,4.6,5,0,0,0,2,3,The Shin Japanese Malt Whisky 750ml,59.99,Hatozaki Small Batch Japanese Whisky 750ml,60.99,Monsho Peated Pure Malt Whisky 750ml,59.99,Royal Tiger Indian Whisky 750ml,46.99,Redemption Wheated Bourbon 750ml,44.99,"{'smoothness': '3 reviews', 'price': '2 reviews'}",,3 out of 3 (100%) of reviewers would recommend this product to a friend.,3,100
MacCay & Scott 3 Yr Blended Scotch Whisky 1.75l,24.99,4,3,0,0,0,3,0,La Vostra Prosecco 1.5L,22.99,C&J Blended Scotch Whisky 1.75L,24.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,Louis Bouillot Perle de Vigne Brut 750ml,19.99,"Sextant Cabernet Sauvignon Paso Robles, 2018 750ml",18.99,{'smoothness': '2 reviews'},,3 out of 3 (100%) of reviewers would recommend this product to a friend.,3,100
McAdams Canadian Whisky 50ml,0.99,4.4,25,0,0,3,9,13,Ensign Red Canadian Whisky 750ml,15.99,,,,,,,Maker's Mark Bourbon Private Barrel Select 750ml,74.99,"{'price': '5 reviews', 'satisfaction': '3 reviews'}",,16 out of 16 (100%) of reviewers would recommend this product to a friend.,16,100
Togouchi 9 Year Blended Japanese Whisky 750ml,84.99,5,2,0,0,0,0,2,Casa Dragones Blanco 750ml,64.99,The Shin Japanese Malt Whisky 15 Year 750ml,99.99,The Shin Japanese Malt Whisky 10 Year 750ml,79.99,Teeter-Totter Cabernet Sauvignon 750ml,74.99,"Amici Cabernet Sauvignon Napa Reserve, 2018 750ml",99.99,,,,,
Opthimus Rum 25 Yr Malt Whiskey Finish 750ml,99.99,5,2,0,0,0,0,2,Shieldaig Speyside Sin Malt 30Yr 750ml,29.99,Ch de Laubade Armagnac 1990 750ml,29.99,Joel Richard Esencia 25 Yr 750ml,89.99,Casa Dragones Blanco 750ml,64.99,Bud Light 1/2 Keg,49.99,"{'enjoyment': '2 reviews', 'sweet': '2 reviews'}",,2 out of 2 (100%) of reviewers would recommend this product to a friend.,2,100
Togouchi 15 Year Blended Japanese Whisky 750ml,149.99,5,1,0,0,0,0,1,Shibui Pure Malt 10 Yr Whisky 750ml,44.99,Michelob Ultra 1/2 Keg,54.99,El Tesoro Extra Anejo Tequila 750ml,24.99,"Quintessa Meritage, 2017 750ml",89.99,"Stag's Leap FAY Cabernet, 2016 750ml",49.99,,,,,
