Product name,Price_per_unit,Rating,Rating_count,1 star count,2 star count,3 star count,4 star count,5 star count,Similar_product_1,Similar_product_price_1,Similar_product_2,Similar_product_price_2,Similar_product_3,Similar_product_price_3,Similar_product_4,Similar_product_price_4,Similar_product_5,Similar_product_price_5,Pros,Cons,product recommendation,recommendation_count,recommendation_percent
Shibui Pure Malt Whisky 750ml,69.99,1.9,8,4,2,1,1,0,The Shin Japanese Malt Whisky 750ml,59.99,Bib & Tucker 6 Year Bourbon 750ml,52.99,Shibui Grain Blend Whisky 750ml,59.99,The Shin Japanese Malt Whisky 10 Year 750ml,79.99,Hayama Pure Malt Whisky 750ml,56.99,{'taste': '4 reviews'},,1 out of 7 (14%) of reviewers would recommend this product to a friend.,1.0,14%
Shibui Single Grain 10 Yr White Oak Whisky 750ml,179.99,3.0,2,1,0,0,0,1,Shibui Pure Malt 10 Yr Whisky 750ml,44.99,Chivas Royal Salute 21 Yr 750ml,79.99,Michelob Ultra 1/2 Keg,54.99,"Quilceda Creek Cabernet Sauvignon Columbia Valley, 2017 750ml",99.99,El Tesoro Extra Anejo Tequila 750ml,24.99,,,,,
Kaiyo The Peated Whisky 750ml,109.99,5.0,2,0,0,0,0,2,The Shin Japanese Malt Whisky 750ml,59.99,,,,,,,Kaiyo Mizunaru Oak 92 Proof Barrel Select 750ml,74.99,,,,,
Yame Eight Goddesses 10Yr Whisky 750ml,61.99,4.1,7,1,0,0,2,4,Hayama Pure Malt Whisky 750ml,56.99,Monsho Peated Pure Malt Whisky 750ml,59.99,Hatozaki Small Batch Japanese Whisky 750ml,60.99,The Shin Japanese Malt Whisky 750ml,59.99,Shibui Pure Malt Whisky 750ml,69.99,{'smoothness': '5 reviews'},,4 out of 6 (67%) of reviewers would recommend this product to a friend.,4.0,67%
Shimauta 10 Yr Ryukyu Japanese Whisky 750ml,79.99,2.0,1,0,1,0,0,0,The Shin Japanese Malt Whisky 10 Year 750ml,79.99,Teeter-Totter Cabernet Sauvignon 750ml,74.99,Casa Dragones Blanco 750ml,64.99,"Chappellet Cabernet Sauvignon Napa Signature, 2018 750ml",69.99,Maker's Mark Bourbon Private Barrel Select 750ml,74.99,,,,,
Ohishi Islay Cask Finish Whisky Barrel Select 750ml,77.99,4.0,1,0,0,0,1,0,135 East Hyogo Dry Japanese Gin 750ml,29.99,,,,,,,Ohishi Brandy Cask Whisky Single Barrel Select 750ml,69.99,,,,,
Jack Daniels Whiskey & Cola 4pk-12oz cans,11.99,4.8,9,0,0,1,0,8,Corona Extra 6pk-12oz Btls,,Luminar Black Cherry Ginger Mule Cocktail 4pk-12oz Cans,13.99,Ed Edmundo Cabernet Sauvignon 750ml,,La Vostra Prosecco 750ml,10.99,Eccentric Cabernet Sauvignon 750ml,,,,,,
Black Eagle Honey Bourbon 1.75l,19.99,4.4,141,9,4,8,25,95,Black Eagle Kentucky Straight Bourbon Whiskey 1.75L,19.99,Tower Vodka 1.75L,19.99,Catch Fire Cinnamon Whisky 1.75L,18.99,Lonehand Whiskey 1.75L,23.99,Kavanagh Irish Cream 1.75L,23.99,"{'price': '27 reviews', 'satisfaction': '21 reviews'}",,102 out of 120 (85%) of reviewers would recommend this product to a friend.,102.0,85%
Jim Beam Classic Highball Bourbon Seltzer 4pk-12oz cans,88.99,3.7,3,1,0,0,0,2,G&J Greenall's Pink Grapefruit Gin & Tonic 4pk-355ml,10.99,Shipyard Pumpkinhead Hard Seltzer 6pk-12oz Cans,10.99,Greenhouse Mango Guava Hard Seltzer 4pk-12oz Cans,,Heineken 0.0 6pk-11oz Btls,,Angostura Bitters 4oz,,,,,,
McKenzie Single Barrel Bourbon Whiskey Barrel Select 750ml,32.99,1.0,2,2,0,0,0,0,Tsarine Cuvee Adriana 750ml,94.99,McKenzie Specialty Bourbon Barrel Select 750ml,72.99,McKenzie Rye Whiskey Barrel Select 750ml,72.99,Russell's Reserve Single Barrel Barrel Select Bourbon 750ml,67.99,Heaven's Door Cask Strength Single Barrel Bourbon Barrel Select 750ml,71.99,{'smell': '3 reviews'},,0 out of 2 (0%) of reviewers would recommend this product to a friend.,0.0,0%)
Glencairn Whisky Glasses - 4pk,41.99,4.8,24,0,1,0,2,21,Corkcicle Whiskey Wedge,24.99,Ultimate Whiskey Set,39.99,On the Rocks Glass & Ice Ball,19.99,Viski Admiral Crystal Glasses,24.99,Corkcicle Cigar Glass,24.99,"{'quality': '5 reviews', 'enjoyment': '3 reviews'}",,16 out of 18 (89%) of reviewers would recommend this product to a friend.,16.0,89%
Hudson Bright Lights Big Bourbon 750ml,12.09,4.4,139,2,2,13,38,84,Bib & Tucker 6 Year Bourbon 750ml,52.99,Redemption Wheated Bourbon 750ml,44.99,Two Stars Bourbon 1.75L,36.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,1858 Cabernet Sauvignon Paso Robles 750ml,34.99,"{'satisfaction': '22 reviews', 'price': '11 reviews'}",,8 out of 10 (80%) of reviewers would recommend this product to a friend.,8.0,80%
Evan Williams Honey 750ml,129.99,4.8,35,0,0,0,6,29,Skatterbrain Peanut Butter Whiskey 750ml,15.99,Catch Fire Cinnamon Whisky 750ml,10.99,Ellington Reserve Salted Caramel Whisky 750ml,13.99,Buttercream Chardonnay 750ml,13.99,Black Eagle Kentucky Straight Bourbon Whiskey 750ml,10.99,"{'price': '4 reviews', 'satisfaction': '3 reviews'}",,16 out of 16 (100%) of reviewers would recommend this product to a friend.,16.0,100
Shieldaig Speyside Sin Malt 30Yr 750ml,21.49,4.3,7,0,0,2,1,4,Shieldaig Speyside Sin Malt 25Yr 750ml,19.99,A de Fussigny XO Cognac 750ml,99.99,Quinta das Carvalhas 30Yr Tawny 750ml,99.99,Islay Gold 25 YR 750ml,29.99,Bud Light 1/2 Keg,49.99,{'price': '3 reviews'},,4 out of 6 (67%) of reviewers would recommend this product to a friend.,4.0,67%
Ballotin Chocolate Mocha Whiskey Cream 750ml,31.99,5.0,1,0,0,0,0,1,Tower Vodka 1.75L,19.99,El Padrino Blanco Tequila 750ml,22.99,1858 Red Blend 750ml,24.99,Harvester Cabernet Sauvignon Paso Robles 750ml,19.99,Louis Bouillot Perle de Vigne Brut 750ml,19.99,,,,,
High West American Prairie Bourbon 750ml,39.99,4.6,48,0,0,6,8,34,Redemption High Rye Bourbon 750ml,27.99,"Silver Ghost Cabernet Sauvignon Napa Valley , 2018 750ml",39.99,Corona Extra 24-12oz Btls,26.99,1858 Cabernet Sauvignon Paso Robles 750ml,34.99,Corona Light 24-12oz Btls,26.99,"{'price': '7 reviews', 'satisfaction': '4 reviews'}",,21 out of 24 (88%) of reviewers would recommend this product to a friend.,21.0,88%
